"","ID","Day","Month","Year","Location","Danger_Score","Trigger_Type","Origin","Size","Members","Dragged","Hurt","Dead","Activity","lat","long"
"49",311,"20","02","2010","Cambre d'Aze","4","Unknown","Unknown",NA,1,1,0,0,"Off-piste skiing",42.462748,2.119171
"50",314,"18","02","2010","Cerler","4","Unknown","Unknown",NA,1,1,0,0,"Off-piste skiing",42.564051,0.554922
"51",358,"14","02","2010","Ivón de Coronas","Unknown","Unknown","Unknown",NA,2,2,2,0,"Unknown",42.62894,0.641011
"52",263,"10","02","2010","Midi de Bigorre","3","Unknown","Unknown",NA,2,1,0,1,"Freeride",42.932459,0.139057
"53",293,"10","02","2010","Coma de Ransol","3","Unknown","Unknown",NA,1,1,0,1,"Skimo",42.610516,1.624271
"54",468,"09","02","2010","Ransol","3","Slab","Accidental",NA,1,1,0,1,"Skimo",42.6158649718889,1.62797620538076
"55",236,"07","02","2010","Peguera","2","Slab","Unknown",NA,4,2,0,0,"Skimo",42.144332,1.762617
"56",212,"03","02","2010","Cavallers","2","Unknown","Natural",NA,2,4,1,2,"Mountaineerin",42.583891,0.845495
"57",351,"02","02","2010","Formigal","Unknown","Unknown","Accidental",NA,1,1,0,0,"Off-piste skiing",42.79314,-0.433653
"58",366,"02","02","2010","Portalet","Unknown","Unknown","Unknown",NA,3,2,0,1,"Skimo",42.806446,-0.416842
"59",316,"31","01","2010","Alta Garona","4","Unknown","Unknown",NA,NA,1,0,1,"Off-piste skiing",42.909499,0.769369
"60",352,"31","01","2010","Candanchú","Unknown","Unknown","Unknown",NA,3,1,0,0,"Skimo",42.781235,-0.548001
"61",313,"16","01","2010","Astún","4","Unknown","Unknown",NA,1,1,0,0,"Off-piste skiing",42.802693,-0.507602
"62",321,"16","01","2010","Ariege","4","Unknown","Accidental",NA,4,4,2,0,"Skimo",42.840854,1.743505
"63",259,"15","01","2010","Masella","3","Unknown","Accidental",NA,3,3,1,0,"Freeride",42.322052,1.894284
"64",362,"09","01","2010","La Collarada","Unknown","Unknown","Unknown",NA,3,3,0,3,"Skimo",42.713963,-0.47194
"65",292,"06","01","2010","Canal de l’Ordiguer","3","Slab","Unknown",NA,1,1,0,0,"Mountaineerin",42.285374,1.653498
"66",363,"06","01","2010","Bastiments","Unknown","Slab","Unknown",NA,NA,-1,-1,-1,"Others",42.425848,2.233647
"67",467,"26","12","2010","Montmalús","2","Unknown","Accidental",NA,2,2,1,0,"Skimo",42.507729869369,1.69220705959241
"68",345,"04","12","2010","Cara este Monte Anboto","Unknown","Unknown","Unknown",NA,3,3,3,0,"Mountaineerin",43.08888,-2.596045
"69",465,"19","03","2011","Serra Mitjana","4","Slab","Accidental",2.5,3,1,0,0,"Snow bike",42.4688047414407,1.61542315117149
"70",253,"13","03","2011","Coma Oriola (Masella)","3","Unknown","Accidental",NA,4,1,1,0,"Off-piste skiing",42.32725,0.189208
"71",305,"13","03","2011","Vall de Moró","4","Slab","Accidental",NA,2,1,0,0,"Off-piste skiing",42.48131,0.895953
"72",266,"10","03","2011","Estany Flamisella","3","Slab","Accidental",NA,2,1,1,0,"Skimo",42.705516,1.255896
"73",265,"05","03","2011","Porté-Puymorens","3","Unknown","Unknown",NA,3,1,1,0,"Off-piste skiing",42.54716,1.79191
"74",310,"04","03","2011","Cara N Baqueira","4","Unknown","Unknown",NA,1,1,1,0,"Freeride",42.696702,0.97134
"75",466,"24","02","2011","Sorteny","4","Slab","Accidental",1,3,2,0,0,"Skimo",42.6090113408715,1.57285503966542
"76",368,"21","02","2011","Barranco de San Juan","Unknown","Unknown","Unknown",NA,3,3,1,1,"Hiking",37.13477,-3.38119
"77",327,"20","02","2011","Col de Peyresourde","4","Unknown","Unknown",NA,NA,2,0,2,"Rackets",42.784431,0.458842
"78",353,"23","01","2011","Normal de sabocos","Unknown","Unknown","Unknown",NA,2,2,0,1,"Mountaineerin",42.679241,-0.251699
